$GPGGA,120000,3959.490,N,03255.800,E,1,08,0.9,200.0,M,0.0,M,,*5A
$GPGGA,120100,3958.000,N,03225.000,E,1,08,0.9,205.0,M,0.0,M,,*51
$GPGGA,120200,3955.000,N,03145.000,E,1,08,0.9,210.0,M,0.0,M,,*5D
$GPGGA,120300,3950.000,N,03100.000,E,1,08,0.9,215.0,M,0.0,M,,*53
$GPGGA,120400,3945.000,N,03030.000,E,1,08,0.9,220.0,M,0.0,M,,*57
$GPGGA,120500,3940.000,N,03000.000,E,1,08,0.9,225.0,M,0.0,M,,*58
$GPGGA,120600,3936.000,N,02945.000,E,1,08,0.9,230.0,M,0.0,M,,*5F
$GPGGA,120700,3932.000,N,02910.000,E,1,08,0.9,235.0,M,0.0,M,,*50
$GPGGA,120800,3930.000,N,02850.000,E,1,08,0.9,240.0,M,0.0,M,,*54
$GPGGA,120900,3935.000,N,02820.000,E,1,08,0.9,245.0,M,0.0,M,,*5C
$GPGGA,121000,3940.000,N,02810.000,E,1,08,0.9,250.0,M,0.0,M,,*53
$GPGGA,121100,3945.000,N,02805.000,E,1,08,0.9,255.0,M,0.0,M,,*5B
$GPGGA,121200,3950.000,N,02805.000,E,1,08,0.9,260.0,M,0.0,M,,*59
$GPGGA,121300,3955.000,N,02805.000,E,1,08,0.9,265.0,M,0.0,M,,*5F
$GPGGA,121400,4000.000,N,02805.000,E,1,08,0.9,270.0,M,0.0,M,,*5A
$GPGGA,121500,4040.000,N,02805.000,E,1,08,0.9,275.0,M,0.0,M,,*5C
$GPGGA,121600,4080.000,N,02810.000,E,1,08,0.9,280.0,M,0.0,M,,*5F
$GPGGA,121700,4100.000,N,02820.000,E,1,08,0.9,285.0,M,0.0,M,,*5B
$GPGGA,121800,4110.000,N,02830.000,E,1,08,0.9,290.0,M,0.0,M,,*5D
$GPGGA,121900,4120.000,N,02840.000,E,1,08,0.9,295.0,M,0.0,M,,*5E
$GPGGA,122000,4130.000,N,02850.000,E,1,08,0.9,300.0,M,0.0,M,,*5F
$GPGGA,122100,4140.000,N,02860.000,E,1,08,0.9,305.0,M,0.0,M,,*5B
$GPGGA,122200,4150.000,N,02870.000,E,1,08,0.9,310.0,M,0.0,M,,*5A
$GPGGA,122300,4160.000,N,02880.000,E,1,08,0.9,315.0,M,0.0,M,,*59
$GPGGA,122400,4170.000,N,02890.000,E,1,08,0.9,320.0,M,0.0,M,,*58
